hillnumber, hillname, region, parent, classification, metres, gridref, drop, latitude, longitude,W,WO,easting,northing
2417,Pike of Stickle,34B,2396,"Sim,Hew,N,W, B,Sy,Fel",708.4,NY273073,53,54.456393,-3.121381,1,0,327398,507358
2418,Whiteside [Whiteside West Top],34B,2386,"N,W,B,Sy, Fel",707,NY170219,18,54.585912,-3.285161,1,0,317043,521950
2419,Pike of Blisco,34B,,"Ma,Sim,Hew,N, W,B,Sy,Fel",705,NY271042,177,54.428111,-3.124925,1,0,327118,504214
2422,Cold Pike,34B,2359,"Sim,Hew,N,W, B,Sy,Fel",701,NY262036,46,54.4226,-3.137582,1,0,326287,503615
2423,Pavey Ark,34B,2396,"N,W,B,Sy, Fel",700,NY284079,15,54.461494,-3.105214,1,0,328455,507909
2424,Grey Knotts,34B,2367,"N,W,B,Sy, Fel",697,NY217125,16,54.502362,-3.210186,1,0,321728,512568
2425,Caw Fell,34B,2368,"N,sSim,W,B, Sy,Fel",697,NY132109,22,54.486868,-3.341256,1,0,313208,510998
2427,Seatallan,34B,,"Ma,Sim,Hew,N, W,B,Sy,Fel",692,NY140084,193,54.464065,-3.328274,1,0,314001,508445
2430,Loft Crag,34B,2396,"N,sSim,W,B, Sy,Fel",681.7,NY277071,23.6,54.454429,-3.115991,1,0,327743,507134
2432,Scar Crags,34B,2372,"Sim,Hew,N,W, B,Sy,Fel",672,NY208206,55,54.574968,-3.225966,1,0,320847,520664
2434,Whiteless Pike,34B,2372,"Sim,Hew,N,W, B,Sy,Fel",660,NY180189,36.2,54.559367,-3.26931,1,0,318014,518978
2436,High Spy,34B,2400,"Hu,Sim,Hew,N, sMa,W,B,Sy",653.1,NY234162,147.8,54.535559,-3.185141,1,0,323412,516234
2437,Rossett Pike,34B,2359,"Sim,Hew,N,W, B,Sy,Fel",651,NY249075,40,54.457935,-3.159804,1,0,324909,507570
2438,Fleetwith Pike,34B,2367,"Hu,Sim,Hew,N, W,B,Sy,Fel",648.9,NY205141,118.4,54.516562,-3.22818,1,0,320591,514168
2439,Base Brown,34B,2367,"Sim,Hew,N,W, B,Sy,Fel",646,NY225114,38,54.492581,-3.197762,1,0,322514,511466
2442,Causey Pike,34B,2372,"Sim,Hew,N,W, B,Sy,Fel",637,NY218208,40,54.576817,-3.210133,1,0,321874,520852
2445,Starling Dodd,34B,2381,"Sim,Hew,N,W, B,Sy,Fel",633,NY142157,73,54.529725,-3.327207,1,0,314208,515749
2450,Yewbarrow,34B,2368,"Hu,Sim,Hew,N, sMa,W,B,Sy",627,NY173084,142,54.464889,-3.27686,1,0,317335,508475
2451,Great Borne,34B,2381,"Hu,Sim,Hew,N, W,B,Sy,Fel",616,NY123163,113,54.534903,-3.355442,1,0,312392,516360
2454,Illgill Head,34B,,"Ma,Sim,Dew,W, B,Sy,Fel",608.8,NY168049,314,54.43293,-3.282634,1,0,316896,504926
2455,High Seat,34B,2396,"Hu,Sim,Dew,W, B,Sy,Fel",608,NY287180,136,54.552632,-3.103765,1,0,328708,518048
2456,Seathwaite Fell (Wainwright summit),34B,2359,"W,B,Sy,Fel",601,NY229101,12,54.481131,-3.191438,1,0,322902,510185
2457,Haystacks (Buttermere),34B,2367,"5,Dew,W,B, Sy,Fel",597,NY193131,78,54.507243,-3.247321,1,0,319333,513153
2458,Bleaberry Fell,34B,2396,"5,Dew,W,B, Sy,Fel",590,NY285195,42,54.56637,-3.106177,1,0,328576,519579
2459,Middle Fell,34B,2427,"Hu,5,Dew,W, B,Sy,Fel",582,NY150072,117,54.453249,-3.311327,1,0,315077,507221
2460,Ard Crags,34B,2372,"Hu,5,Dew,W, B,Sy,Fel",581,NY206197,116,54.566938,-3.228123,1,0,320692,519773
2461,Maiden Moor,34B,2400,"W,B,Sy,Fel",575,NY236181,10,54.553174,-3.181585,1,0,323675,518190
2462,Blake Fell,34B,,"Ma,5,Dew,W, B,Sy,Fel",573,NY110196,164,54.564569,-3.377198,1,0,311049,519688
2463,Sergeant's Crag,34B,2396,"5,Dew,W,B, Sy,Fel",571,NY273113,45,54.492531,-3.122463,1,0,327392,511380
2464,Outerside,34B,2372,"5,Dew,W,B, Sy,Fel",568,NY211214,74,54.582169,-3.222159,1,0,321107,521461
2465,Knott Rigg,34B,2372,"5,Dew,W,B, Sy,Fel",556,NY197188,53,54.558701,-3.242613,1,0,319739,518873
2466,Steel Fell [Dead Pike - Steel Fell],34B,2396,"5,Dew,W,B, Sy,Fel",553,NY319111,80,54.49115,-3.052179,1,0,331942,511156
2467,Rosthwaite Fell - Bessyboot,34B,2359,"5,Dew,W,B, Sy,Fel",551,NY258124,45,54.502198,-3.14685,1,0,325829,512481
2468,Tarn Crag (Easedale),34B,2396,"W,B,Sy,Fel",549,NY303093,4,54.474295,-3.076006,1,0,330370,509304
2469,Hard Knott,34B,,"Ma,5,Dew,W, B,Sy,Fel",549,NY231023,154,54.411026,-3.185029,1,0,323186,502378
2470,Blea Rigg,34B,2396,"W,B,Sy,Fel",541,NY301078,11,54.461076,-3.078806,1,0,330166,507836
2471,Lank Rigg,34B,2368,"Hu,5,Dew,W, B,Sy,Fel",541,NY091119,111,54.494811,-3.403973,1,0,309163,511961
2472,Calf Crag,34B,2396,"5,Dew,W,B, Sy,Fel",537,NY301104,50,54.484231,-3.079493,1,0,330161,510413
2473,Whin Rigg (Wasdale),34B,2454,"5,Dew,W,B, Sy,Fel",537,NY151035,61,54.420162,-3.309916,1,0,315100,503538
2474,Gavel Fell,34B,2462,"5,Dew,W,B, Sy,Fel",526,NY116183,75,54.552984,-3.366804,1,0,311696,518386
2475,Eagle Crag,34B,2396,"s5,W,B,Sy, Fel",525,NY275121,27,54.499056,-3.12048,1,0,327532,512104
2476,Crag Fell,34B,2368,"Hu,5,Dew,W, B,Sy,Fel",523,NY097143,114,54.516717,-3.396073,1,0,309723,514388
2477,Whinlatter [Brown How - Whinlatter],34A,2345,"W,B,Sy,Fel",517,NY191251,16,54.614855,-3.254033,1,0,319112,525134
2478,High Tove,34B,2396,"W,B,Sy,Fel",515,NY289165,16,54.53886,-3.100209,1,0,328914,516512
2479,Mellbreak [Mellbreak South Top],34B,,"Ma,5,Dew,W, B,Sy,Fel",512,NY148186,260,54.555581,-3.318258,1,0,314841,518615
2480,Broom Fell,34A,2345,"s5,W,B,Sy, Fel",511,NY194271,27,54.633407,-3.249491,1,0,319442,527193
2481,Hen Comb,34B,2462,"Hu,5,Dew,sMa, W,B,Sy,Fel",509,NY132181,140,54.550848,-3.343261,1,0,313214,518119
2482,Grike,34B,2368,"4,W,B,Sy, Fel",488,NY084140,37,54.513766,-3.41488,1,0,308499,514084
2483,Armboth Fell,34B,2396,W,475,NY295157,6,54.532026,-3.089686,1,0,329583,515741
2484,Burnbank Fell,34B,2462,"W,B,Sy",475,NY110209,22,54.575943,-3.37834,1,0,311000,520955
